pid,artist,location,label,_date,keywords,object_type,source,order,layout,collection,thumbnail,full,manifest
gy_001,Someone,CRL,Parliament Building,1950,who,book,https://drive.google.com/file/d/1j6m0FBmedufZFj47_Yrz019IOnnXXiJX/view?usp=sharing,00,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_001/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_001/manifest.json
gy_002,Someone,CRL,Lighthouse,1950,guiana,exhibit,https://drive.google.com/file/d/18YrPaKrfVMyVPkrJnPExFy04-KMTYNsZ/view?usp=sharing,01,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_002/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_002/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_002/manifest.json
gy_003,Someone,CRL,Parade Ground,1950,poilce,thesis,https://drive.google.com/file/d/1S8FQrUpAYxdJ1cMCoVCAG3f5DQ4Lo0dt/view?usp=sharing,02,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_003/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_003/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_003/manifest.json
gy_004,Someone,CRL,Sugar Estate,08/09/70,surar_cane,book,https://drive.google.com/file/d/1ctS_83erzt3tpGJ-Eyae61eAP2ihCbFQ/view?usp=sharing,03,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_004/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_004/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_004/manifest.json
gy_005,Unknown,CRL,Church,01/10/60,worship,staff paper,https://drive.google.com/file/d/1Az8cRba3BaerlTR5ZJRTAOP7bNRzILC-/view?usp=sharing,04,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_005/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_005/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_005/manifest.json
gy_006,Unknown,CRL,Hight Street,10/12/50,street,staff paper,https://drive.google.com/file/d/1OoMfOKtDQEg6uOBenxBgnbqcncRHk3aD/view?usp=drive_link,05,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_006/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_006/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_006/manifest.json
gy_007,Unknown,CRL,Water Street,11/13/60,georgetown,staff paper,https://drive.google.com/file/d/1VxxbDqDuaKKET-h3Ran3-C8kLvbopAf1/view?usp=sharing,06,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_007/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_007/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_007/manifest.json
gy_008,Unknown,CRL,Roman Cartholic,11/14/40,church,staff paper,https://drive.google.com/file/d/1FIDouBH5JxeXNUYVbgDuCF2KvMzX0Rxf/view?usp=sharing,07,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_008/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_008/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_008/manifest.json
gy_009,Unknown,CRL,Military Hospital,11/15/45,medical,book,https://drive.google.com/file/d/1oAq9M-btGhGlrZKzC7jtm1TwpxNgWzEm/view?usp=sharing,08,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_009/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_009/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_009/manifest.json
gy_010,Unknown,RSD,Royal Bank of Canada,11/16/76,money,legal deposit,https://drive.google.com/file/d/1qdvi88l4wk_jKARJDWheYmQ28bBQGUYK/view?usp=sharing,09,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_010/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_010/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_010/manifest.json
gy_011,Someone ,RSD,Insurance Company,11/17/78,insurance,legal deposit,https://drive.google.com/file/d/1XPnwrQhEi-eXLRvmxeDk6k54f-EgvKm-/view?usp=sharing,10,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_011/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_011/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_011/manifest.json
gy_012,Unknown,RSD,Store,11/18/66,grocery,legal deposit,https://drive.google.com/file/d/1C_6gzwPPNHwk86RnBcn_1zu29HsNjltD/view?usp=sharing,11,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_012/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_012/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_012/manifest.json
gy_013,Unknown,RSD,Tobacco Company,11/19/48,roraima,legal deposit,https://drive.google.com/file/d/1hq8GMSjY9Kn_njY3z9Ow6tqsnxiOrvs2/view?usp=sharing,12,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_013/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_013/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_013/manifest.json
gy_014,Unknown,RSD,Manufacturing Company,11/20/38,manufacturing,book,https://drive.google.com/file/d/1uqXDf6ihk_-YtWvgFsFmPD44L8-yc2Ow/view?usp=sharing,13,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_014/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_014/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_014/manifest.json
gy_015,Unknown,RSD,Garnette Company,3/18/2023,grocery,book,https://drive.google.com/file/d/1mkITKtCDRdU7Q4oyWYf0JgnRx-Us9jtg/view?usp=sharing,14,minicomp_item,minicomp,"/img/derivatives/iiif/images/gy_015/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_015/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_015/manifest.json
carifesta_001,Unknown,RSD,All kinds of  folk,5/25/1905,carifesta,manuscript,https://drive.google.com/file/d/1G8obuEZpLQXqbIO7UW1z3iij9mmWqbUy/view?usp=drive_link,15,minicomp_item,minicomp,"/img/derivatives/iiif/images/carifesta_001_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/carifesta_001_0/full/1140,/0/default.jpg",/img/derivatives/iiif/carifesta_001/manifest.json
carifesta_002,Unknown,RSD,Art and Society,5/25/1905,carifesta,staff paper,https://drive.google.com/file/d/1gLVFe0pMNuOgH-jrrQwiSeXTd59g7zhZ/view?usp=sharing,16,minicomp_item,minicomp,"/img/derivatives/iiif/images/carifesta_002_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/carifesta_002_00/full/1140,/0/default.jpg",/img/derivatives/iiif/carifesta_002/manifest.json
carifesta_003,Unknown,RSD,History of Theature,1800_2000,carifesta,poem,https://drive.google.com/file/d/1jKhIo-Hmuwv86GfKc9k12MXo83itzDno/view?usp=drive_link,17,minicomp_item,minicomp,"/img/derivatives/iiif/images/carifesta_003_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/carifesta_003_00/full/1140,/0/default.jpg",/img/derivatives/iiif/carifesta_003/manifest.json
